,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
0,Ses05F_impro04_F000,2,0.0014478422,0.0020924185,0.0017988663,0.0010708489,0.0,-0.009781946573639287,0.002867541257271386,0.016217233216684425
2,Ses05F_impro04_F002,2,0.0051079425,0.008415074,0.0064240484,0.0054365535999999996,0.33835845896147404,-0.007737305168120656,0.05152832331650661,0.2317406684900437
3,Ses05F_impro04_F003,2,0.005829040400000001,0.008689183,0.007171393000000001,0.004913077,0.21288515406162464,-0.008300153240270447,0.05066039948454618,0.3473425322646023
4,Ses05F_impro04_F004,2,0.006648321600000001,0.011370485,0.008351784000000001,0.0077134953000000004,0.2798353909465021,-0.008102708306978457,0.09671487435846224,0.522333708460974
5,Ses05F_impro04_F005,2,0.008541755,0.014261881,0.010917473,0.00914099,0.2714285714285714,-0.011282236300758086,0.14968323384665655,0.20012893978206228
6,Ses05F_impro04_F006,2,0.011861336,0.01869707,0.0149816265,0.011151665,0.26038781163434904,-0.006288603344728472,0.2457318034421882,0.5512895857255407
7,Ses05F_impro04_F007,2,0.008986026999999999,0.014799587,0.011129064,0.009740294,0.375,-0.010037218999059405,0.15856753329871162,0.4076337918773288
8,Ses05F_impro04_F008,0,0.008311845,0.013789106,0.01059386,0.008807397,0.2725490196078431,-0.006380056674970547,0.13928755192826198,0.38201825608043855
9,Ses05F_impro04_F009,2,0.0089562815,0.014750363,0.011055881000000002,0.009763882,0.35904761904761906,-0.0075450925578479655,0.15749631472345935,0.7793590891582585
10,Ses05F_impro04_F010,2,0.011460503,0.018036352,0.014213696999999999,0.011101590500000001,0.26426426426426425,-0.007374473170784769,0.2277734268026933,0.6655577686406028
11,Ses05F_impro04_F011,2,0.0037817273,0.006990215,0.0046051024,0.0052542184,0.5546218487394958,-0.011262200132478029,0.03820656721660657,0.10961007102100018
12,Ses05F_impro04_F012,2,0.010567498,0.018428845,0.013257275,0.012763665,0.3954983922829582,-0.006184570338518824,0.2561336857769593,0.7111151526122115
13,Ses05F_impro04_F013,2,0.0046468256,0.009102705,0.0059102275,0.006917755,0.5087209302325582,-0.010059185115096623,0.06669071459181843,0.2216240341844242
14,Ses05F_impro04_F014,2,0.011355344,0.017258153999999998,0.014180685,0.009826083000000001,0.2484756097560976,-0.006890168606332736,0.202703620213693,0.6402842579003886
15,Ses05F_impro04_F015,2,0.005253090500000001,0.008362103000000001,0.0064691636,0.005295691,0.39361702127659576,-0.009649294952396305,0.049486344311086325,0.23207902037600825
16,Ses05F_impro04_F016,2,0.0036767859999999996,0.0061869514000000006,0.004601313,0.004134152,0.4408284023668639,-0.009077821232494898,0.028308175786778824,0.09868664099625372
17,Ses05F_impro04_F017,2,0.0035349487,0.0056027602,0.004430619,0.003429073,0.3134920634920635,-0.008218890798161738,0.022256573476817344,0.08861422386945267
19,Ses05F_impro04_F019,2,0.0013947908,0.0019775487,0.0017178904,0.0009788326,0.0,-0.012678668099397328,0.0025086993722939228,0.01008265887582468
20,Ses05F_impro04_F020,2,0.0072498395999999994,0.013705733999999999,0.008843308000000001,0.010465036,0.5757575757575758,-0.007959428330650553,0.1477398654016477,0.3525212426744447
22,Ses05F_impro04_F022,2,0.005175046599999999,0.0077291965,0.006368336,0.0043732445,0.2857142857142857,-0.008077931852312759,0.04016819727193738,0.11352650784631567
23,Ses05F_impro04_F023,2,0.006204166999999999,0.010171515,0.007706012,0.0066376417,0.4007936507936508,-0.009246782610716764,0.07483570418508204,0.31658728100946804
24,Ses05F_impro04_F024,2,0.011841456,0.018487606,0.014812635,0.011048228,0.2840095465393795,-0.007197811100922991,0.23763800302626886,0.9701400470225586
