Unnamed: 0,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
195,Ses05F_impro03_M043,1,0.022837507000000003,0.036141265,0.028836189,0.021786842,0.2880886426592798,-0.0032625416679366017,0.9167697865262414,2.3014202509034143
1273,Ses05M_script02_1_F014,2,0.0066989185,0.011828076000000002,0.008369873,0.008362439000000001,0.327683615819209,-0.007127062417566776,0.10685013072426418,0.36567564095203703
770,Ses05M_impro08_F009,5,0.004782138,0.007437226,0.006017399499999999,0.0043367837,0.27492447129909364,-0.009482748282607643,0.03862387621957762,0.10173245113219312
1324,Ses05F_script03_2_F010,5,0.0040311487,0.006440659499999999,0.0049898583,0.0040642973,0.4039735099337749,-0.011006763088516893,0.029514884493697637,0.07799778472288113
2062,Ses05M_impro02_F017,3,0.005514491999999999,0.01005776,0.00673774,0.007375126,0.35714285714285715,-0.00810907113191206,0.0786101625271165,0.3015736890411409
280,Ses05M_script02_2_F012,2,0.0035082486,0.005346061,0.00432935,0.0031358178,0.34014598540145985,-0.007485994956368812,0.01960950567106764,0.11150605812043957
88,Ses05F_impro04_M041,5,0.0015598333,0.0023717848000000003,0.0019519066,0.0013467469,0.0,-0.011345704479026608,0.003867241629054653,0.013600363946570809
1101,Ses05F_impro07_M018,1,0.0066644186,0.0106893685,0.0083102,0.0067181108,0.25880281690140844,-0.003275740255048732,0.08156658049570137,0.4010813131233141
353,Ses05F_impro01_F005,2,0.016229806,0.022594454,0.0201924,0.010164924,0.12598425196850396,-0.0038336875149980187,0.3193310460877267,0.7288896266783121
1485,Ses05F_impro02_M014,0,0.008096262,0.013621861,0.010043551,0.0092005385,0.3829201101928375,-0.007911900866020005,0.13666897006394316,0.3900626859901206
2036,Ses05M_script01_1b_M033,0,0.009047665,0.014776731,0.011508349,0.009252763,0.2848605577689243,-0.009059795957000459,0.15765612300727622,0.4567029946387666
976,Ses05M_script03_2_M045,0,0.08701732,0.14331101,0.10739525,0.0948206,0.33783783783783783,-0.1007846585707739,14.80101753991558,42.23581533792378
922,Ses05M_script03_2_F036,0,0.029011322000000006,0.053635187,0.036262687,0.039506733,0.4270833333333333,0.0248965407081414,2.242493126606329,5.334015501684078
569,Ses05F_impro05_F011,2,0.0048319786,0.008811177,0.0061130817,0.0063325814000000005,0.3958333333333333,-0.007261869996000314,0.06035571735158478,0.12698246714053785
